Beginning InterleavedAND evaluation 
InterleavedAND: 500 1 32 
InterleavedAND: 1000 1 48 
InterleavedAND: 1500 1 62 
InterleavedAND: 2000 1 106 
InterleavedAND: 2500 1 128 
InterleavedAND: 3000 1 140 
InterleavedAND: 3500 1 191 
InterleavedAND: 4000 1 255 
InterleavedAND: 4500 1 269 
InterleavedAND: 5000 1 282 
InterleavedAND: 5500 1 299 
InterleavedAND: 6000 1 312 
InterleavedAND: 6500 1 363 
InterleavedAND: 7000 1 427 
InterleavedAND: 7500 1 501 
InterleavedAND: 8000 1 545 
InterleavedAND: 8500 1 581 
InterleavedAND: 9000 1 586 
InterleavedAND: 9500 1 624 
InterleavedAND: 10000 1 647 
InterleavedAND: 500 2 31 
InterleavedAND: 1000 2 68 
InterleavedAND: 1500 2 88 
InterleavedAND: 2000 2 157 
InterleavedAND: 2500 2 176 
InterleavedAND: 3000 2 207 
InterleavedAND: 3500 2 280 
InterleavedAND: 4000 2 368 
InterleavedAND: 4500 2 386 
InterleavedAND: 5000 2 409 
InterleavedAND: 5500 2 432 
InterleavedAND: 6000 2 451 
InterleavedAND: 6500 2 515 
InterleavedAND: 7000 2 619 
InterleavedAND: 7500 2 695 
InterleavedAND: 8000 2 782 
InterleavedAND: 8500 2 836 
InterleavedAND: 9000 2 862 
InterleavedAND: 9500 2 875 
InterleavedAND: 10000 2 906 
InterleavedAND: 500 3 37 
InterleavedAND: 1000 3 89 
InterleavedAND: 1500 3 114 
InterleavedAND: 2000 3 199 
InterleavedAND: 2500 3 223 
InterleavedAND: 3000 3 260 
InterleavedAND: 3500 3 360 
InterleavedAND: 4000 3 459 
InterleavedAND: 4500 3 508 
InterleavedAND: 5000 3 526 
InterleavedAND: 5500 3 545 
InterleavedAND: 6000 3 580 
InterleavedAND: 6500 3 679 
InterleavedAND: 7000 3 781 
InterleavedAND: 7500 3 910 
InterleavedAND: 8000 3 1022 
InterleavedAND: 8500 3 1099 
InterleavedAND: 9000 3 1131 
InterleavedAND: 9500 3 1151 
InterleavedAND: 10000 3 1166 
InterleavedAND: 500 4 48 
InterleavedAND: 1000 4 103 
InterleavedAND: 1500 4 136 
InterleavedAND: 2000 4 242 
InterleavedAND: 2500 4 285 
InterleavedAND: 3000 4 318 
InterleavedAND: 3500 4 442 
InterleavedAND: 4000 4 570 
InterleavedAND: 4500 4 626 
InterleavedAND: 5000 4 664 
InterleavedAND: 5500 4 669 
InterleavedAND: 6000 4 706 
InterleavedAND: 6500 4 829 
InterleavedAND: 7000 4 983 
InterleavedAND: 7500 4 1125 
InterleavedAND: 8000 4 1272 
InterleavedAND: 8500 4 1350 
InterleavedAND: 9000 4 1362 
InterleavedAND: 9500 4 1420 
InterleavedAND: 10000 4 1435 
InterleavedAND: 500 5 57 
InterleavedAND: 1000 5 121 
InterleavedAND: 1500 5 158 
InterleavedAND: 2000 5 286 
InterleavedAND: 2500 5 346 
InterleavedAND: 3000 5 380 
InterleavedAND: 3500 5 526 
InterleavedAND: 4000 5 688 
InterleavedAND: 4500 5 752 
InterleavedAND: 5000 5 833 
InterleavedAND: 5500 5 805 
InterleavedAND: 6000 5 829 
InterleavedAND: 6500 5 967 
InterleavedAND: 7000 5 1150 
InterleavedAND: 7500 5 1335 
InterleavedAND: 8000 5 1509 
InterleavedAND: 8500 5 1623 
InterleavedAND: 9000 5 1656 
InterleavedAND: 9500 5 1671 
InterleavedAND: 10000 5 1777 
End InterleavedAND evaluation 
Beginning AlternativeOR evaluation 
AlternativeOR: 500 1 23 
AlternativeOR: 1000 1 42 
AlternativeOR: 1500 1 49 
AlternativeOR: 2000 1 93 
AlternativeOR: 2500 1 106 
AlternativeOR: 3000 1 120 
AlternativeOR: 3500 1 170 
AlternativeOR: 4000 1 227 
AlternativeOR: 4500 1 276 
AlternativeOR: 5000 1 270 
AlternativeOR: 5500 1 271 
AlternativeOR: 6000 1 256 
AlternativeOR: 6500 1 342 
AlternativeOR: 7000 1 411 
AlternativeOR: 7500 1 438 
AlternativeOR: 8000 1 596 
AlternativeOR: 8500 1 529 
AlternativeOR: 9000 1 634 
AlternativeOR: 9500 1 619 
AlternativeOR: 10000 1 602 
AlternativeOR: 500 2 27 
AlternativeOR: 1000 2 80 
AlternativeOR: 1500 2 86 
AlternativeOR: 2000 2 144 
AlternativeOR: 2500 2 161 
AlternativeOR: 3000 2 214 
AlternativeOR: 3500 2 269 
AlternativeOR: 4000 2 328 
AlternativeOR: 4500 2 382 
AlternativeOR: 5000 2 379 
AlternativeOR: 5500 2 444 
AlternativeOR: 6000 2 408 
